Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,2282112,200,11410.6,11552.0,3296,25696,3630.3,hc_expand
0.0,2229408,200,11147.0,11840.0,2880,33792,3155.3,batched_embed_exl3
0.0,1910656,200,9553.3,9664.0,4992,62080,4018.5,ple_conv
0.0,1885184,36,52366.2,52608.0,48352,55104,1661.7,gated_delta_rule_recompute_wu
0.0,1884832,48,39267.3,39184.0,33856,45664,2512.3,exl3_moe_reduce_slots_f32
0.0,1230016,36,34167.1,33936.0,31200,45056,2344.6,dense_gemm_ba_gates_prefill
0.0,885376,72,12296.9,11856.0,8992,18080,3210.8,exl3_f16_to_bf16_2d
0.0,646272,48,13464.0,13120.0,12864,30304,2487.5,moe_sort_by_expert
0.0,542560,36,15071.1,13616.0,12768,20896,2364.2,gated_rms_norm_prefill_sigmoid
0.0,417152,9,46350.2,46208.0,46016,46784,304.5,argmax_bf16_batch
0.0,377760,36,10493.3,10240.0,8096,13664,1688.8,causal_conv1d_update_prefill_tp
0.0,339808,48,7079.3,6736.0,6656,20320,1956.5,moe_topk_softmax_batched
0.0,302272,12,25189.3,26016.0,21600,28416,2504.3,nvjet_sm121_tst_mma_64x32x64_8_16x32x64_tmaAB_bz_TNNN
0.0,258912,36,7192.0,7104.0,7008,9120,341.2,l2_norm_bf16
0.0,241792,200,1209.0,992.0,928,21184,1498.6,ple_add_highway
0.0,226048,12,18837.3,18688.0,18496,19776,349.3,rope_forward
0.0,194208,12,16184.0,15968.0,15872,18752,810.8,inferspark_prefill_64
0.0,186368,36,5176.9,1248.0,1216,14976,5661.5,exl3_f16_to_bf16
0.0,163360,12,13613.3,13312.0,13184,16480,910.8,deinterleave_qg_split_qnorm
0.0,104928,48,2186.0,1920.0,1888,7744,1035.2,exl3_moe_stage_sorted
0.0,69728,12,5810.7,5792.0,5760,5952,51.9,sigmoid_gate_mul_batched
0.0,19648,1,19648.0,19648.0,19648,19648,0.0,batched_embed
