Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,9755168,8712,1119.7,1056.0,960,14880,362.7,moe_silu_mul
0.1,5760128,1090,5284.5,5152.0,4800,24640,738.7,qsa_block_pool
0.1,5196512,4534,1146.1,1120.0,992,11232,250.7,sigmoid_gate_mul
0.0,4221536,97,43521.0,43584.0,37600,51296,2210.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_tn_align8>(T1::Params)
0.0,4116768,360,11435.5,12448.0,4544,161824,9279.8,ple_conv
0.0,4036440,97,41612.8,37952.0,33663,63488,7402.1,nvjet_sm121_tst_mma_192x16x64_3_32x16x64_tmaAB_splitK_TNNN
0.0,3992544,97,41160.2,40768.0,36448,54016,3560.5,nvjet_sm121_tst_mma_128x32x32_9_64x32x32_tmaAB_bz_TNNN
0.0,3852185,97,39713.2,39840.0,33824,54272,3466.1,nvjet_sm121_tst_mma_64x32x64_8_32x16x64_tmaAB_splitK_TNNN
0.0,3114176,360,8650.5,9008.0,2560,20256,4000.7,batched_embed_exl3
0.0,2676224,238,11244.6,12240.0,8960,18272,1869.6,w4a16_gemv_dual
0.0,2461728,48,51286.0,51728.0,33376,69920,15780.3,exl3_gemm_k6_cb2_sh2_f16
0.0,2103712,238,8839.1,9184.0,7680,27744,1920.9,qhc_mtp_combine_streams
0.0,1890752,96,19695.3,18256.0,9536,40320,8623.9,exl3_moe_reduce_slots_f32
0.0,1176704,96,12257.3,12176.0,11840,21824,1021.8,moe_sort_by_expert
0.0,1055968,192,5499.8,5152.0,4768,7520,829.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_tn_align2>(T1::Params)
0.0,941568,144,6538.7,6112.0,3328,11872,2790.0,exl3_f16_to_bf16_2d
0.0,727552,238,3056.9,2976.0,2880,8256,359.5,moe_weighted_sum_blend
0.0,659584,72,9160.9,8928.0,5184,57088,6908.6,gated_rms_norm_prefill_sigmoid
0.0,614400,96,6400.0,6448.0,6016,6816,302.2,moe_topk_softmax_batched
0.0,575392,72,7991.6,7728.0,6016,12736,1887.0,causal_conv1d_update_prefill_tp
0.0,493792,360,1371.6,960.0,896,13920,911.4,ple_add_highway
0.0,493216,122,4042.8,3664.0,3552,19776,1932.5,hc_expand
