Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,1069984,192,5572.8,5200.0,4768,9152,887.7,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_tn_align2>(T1::Params)
0.0,948832,144,6589.1,6128.0,3424,13440,2789.7,exl3_f16_to_bf16_2d
0.0,734720,240,3061.3,2976.0,2880,10112,486.7,moe_weighted_sum_blend
0.0,612160,96,6376.7,6448.0,5984,6944,307.0,moe_topk_softmax_batched
0.0,580768,72,8066.2,7744.0,5920,17920,2295.3,causal_conv1d_update_prefill_tp
0.0,573952,363,1581.1,992.0,896,13760,1250.3,ple_add_highway
0.0,489920,123,3983.1,3680.0,3488,24448,1957.5,hc_expand
0.0,353472,194,1822.0,1728.0,1440,3744,335.7,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,340096,12,28341.3,28528.0,24544,31872,2201.1,nvjet_sm121_tst_mma_64x32x64_8_32x16x64_tmaAB_bz_TNNN
0.0,311168,72,4321.8,4160.0,2848,23520,2532.5,l2_norm_bf16
0.0,295104,24,12296.0,12208.0,11776,14784,655.6,deinterleave_qg_split_qnorm
0.0,266624,12,22218.7,22064.0,21312,23936,755.9,nvjet_sm121_tst_mma_32x32x64_12_32x8x64_tmaAB_bz_TNNN
0.0,216480,72,3006.7,1152.0,1056,9536,3035.0,exl3_f16_to_bf16
0.0,188192,96,1960.3,1824.0,1760,8704,815.0,exl3_moe_stage_sorted
0.0,178080,12,14840.0,14832.0,14720,15008,83.1,inferspark_prefill_paged
0.0,162048,121,1339.2,1312.0,1024,4032,325.3,fill_slots_from_block_table
0.0,160512,12,13376.0,12464.0,12384,23424,3164.8,inferspark_prefill_64
0.0,158336,36,4398.2,4096.0,3904,7552,844.5,dense_gemv_ba_gates
0.0,146112,12,12176.0,11680.0,11392,18304,1934.1,rope_forward
0.0,122432,36,3400.9,3376.0,3200,4576,220.7,causal_conv1d_update_l2norm_f32
0.0,107616,24,4484.0,3696.0,2144,24000,4434.5,sigmoid_gate_mul_batched
0.0,72864,36,2024.0,2080.0,1856,2144,89.0,gated_rms_norm_f32_input_sigmoid
0.0,31136,2,15568.0,15568.0,13024,18112,3597.8,batched_embed
