epoch,mem_avail_gb,swap_used_gb,gpu_util_pct,gpu_power_w,gpu_sm_mhz
1788685306,112,1,0,6.14,208
1788685311,103,1,4,13.04,2281
1788685316,96,1,4,13.01,2281
1788685321,88,1,3,12.90,2281
1788685326,81,1,4,12.84,2281
1788685331,73,1,4,12.70,2281
1788685336,65,1,5,12.62,2281
1788685341,55,1,0,12.49,2281
1788685346,48,1,4,12.49,2281
1788685351,46,1,15,15.10,2275
1788685356,22,1,92,15.30,2281
1788685361,22,1,96,43.00,2281
1788685366,22,1,87,31.91,2281
1788685371,22,1,89,32.01,2281
1788685376,22,1,96,43.17,2281
1788685382,22,1,88,32.22,2281
1788685387,22,1,89,32.10,2281
1788685392,22,1,96,42.41,2281
1788685397,22,1,91,32.74,2281
1788685402,22,1,89,32.45,2281
1788685407,22,1,54,34.89,2281
1788685412,21,1,91,32.58,2281
1788685417,21,1,90,32.75,2281
1788685422,21,1,90,32.86,2281
1788685427,21,1,90,32.90,2281
1788685432,21,1,91,32.94,2281
1788685437,21,1,91,32.93,2281
1788685442,22,1,90,31.09,2281
1788685447,21,1,96,46.19,2275
1788685452,21,1,90,32.83,2281
1788685457,21,1,89,33.02,2281
1788685462,21,1,90,32.94,2281
1788685467,21,1,91,32.97,2281
1788685472,21,1,91,33.02,2281
1788685477,22,1,89,31.84,2281
1788685482,22,1,96,36.54,2281
1788685487,21,1,91,33.09,2281
1788685492,21,1,89,33.27,2281
1788685497,21,1,91,33.14,2281
1788685503,21,1,91,33.21,2281
1788685508,21,1,91,33.16,2281
1788685513,21,1,89,32.89,2281
1788685518,21,1,77,36.07,2281
1788685523,21,1,96,45.35,2275
1788685528,20,1,95,34.52,2281
1788685533,20,1,91,33.94,2281
1788685538,20,1,89,33.82,2281
1788685543,20,1,91,33.74,2281
1788685548,20,1,91,33.81,2281
1788685553,20,1,91,33.98,2281
1788685558,20,1,91,33.87,2281
1788685563,20,1,89,33.86,2281
1788685568,20,1,90,33.83,2281
1788685573,20,1,90,33.85,2281
1788685578,20,1,91,33.19,2281
1788685583,20,1,90,33.94,2281
1788685588,20,1,91,33.94,2281
1788685593,20,1,91,34.03,2281
1788685598,22,1,30,30.08,2281
1788685603,21,1,96,45.37,2275
1788685608,20,1,93,41.67,2275
1788685613,20,1,91,33.86,2281
1788685618,20,1,89,33.91,2281
1788685624,20,1,91,34.01,2281
1788685629,20,1,91,34.06,2281
1788685634,20,1,91,33.96,2281
1788685639,20,1,90,34.00,2281
1788685644,20,1,89,33.98,2281
1788685649,20,1,90,33.93,2281
1788685654,20,1,91,33.91,2281
1788685659,20,1,91,33.96,2281
1788685664,20,1,90,33.98,2281
1788685669,20,1,91,34.00,2281
1788685674,20,1,89,34.12,2281
1788685679,20,1,91,34.11,2281
1788685684,22,1,62,29.95,2281
1788685689,21,1,96,45.78,2275
1788685694,20,1,96,42.25,2275
1788685699,20,1,89,33.98,2281
1788685704,20,1,91,33.98,2281
1788685709,20,1,92,34.01,2281
1788685714,20,1,91,33.99,2281
1788685719,20,1,90,34.08,2281
1788685724,20,1,91,34.09,2281
1788685729,20,1,89,34.06,2281
1788685734,20,1,91,34.05,2281
1788685739,20,1,90,34.07,2281
1788685745,21,1,91,34.02,2281
1788685750,20,1,91,34.11,2281
1788685755,21,1,91,34.12,2281
1788685760,21,1,92,33.69,2281
1788685765,22,1,90,33.82,2281
1788685770,22,1,91,33.76,2281
1788685775,22,1,95,43.99,2275
1788685780,22,1,89,33.64,2281
1788685785,22,1,90,33.68,2281
1788685790,21,1,83,41.56,2275
1788685795,20,1,90,33.86,2281
1788685800,21,1,89,34.27,2281
1788685805,21,1,90,34.13,2281
1788685810,21,1,90,34.12,2281
1788685815,21,1,90,34.16,2281
1788685820,22,1,91,33.64,2281
1788685825,22,1,90,33.54,2281
1788685830,22,1,89,33.48,2281
1788685835,22,1,90,33.46,2281
1788685840,21,1,90,34.03,2281
1788685845,21,1,88,33.95,2281
1788685850,21,1,90,33.97,2281
1788685856,21,1,89,33.90,2281
1788685861,21,1,90,34.02,2281
1788685866,23,1,90,33.06,2281
