  L stage                 relL2       cosine       maxabs
  9 raw_recur         6.521e-03  0.999978748    1.221e-04
  9 pre_out_proj      1.049e-02  0.999946097    1.172e-02
  9 block_out         1.300e-02  0.999920501    3.906e-03
  9 post_gdn          8.629e-03  0.999962845    7.154e-04
  9 post_moe          2.875e-02  0.999586773    2.334e-03
 10 in                2.875e-02  0.999586773    2.334e-03
 10 hc_pre_mixed      7.127e-02  0.997465715    1.875e-01
 10 hc_pre_inj        2.282e-02  0.999879459    8.799e-04
 10 qkvz_preconv      3.162e-02  0.999507592    3.438e-01
 10 gates             6.999e-03  0.999975928    1.344e-02
 10 post_conv         2.219e-02  0.999753985    1.758e-02
 10 raw_recur         1.939e-02  0.999812019    3.357e-04
 10 pre_out_proj      5.283e-02  0.998609080    1.758e-02
 10 block_out         6.224e-02  0.998064414    1.123e-02
 10 post_gdn          2.769e-02  0.999616672    2.168e-03
 10 post_moe          2.824e-02  0.999601236    2.148e-03
 11 in                2.824e-02  0.999601236    2.148e-03
 11 hc_pre_mixed      6.358e-02  0.997976572    1.484e-01
 11 hc_pre_inj        3.775e-03  0.999992983    9.516e-05
 11 qkvz_preconv      2.912e-02  0.999576298    2.500e-01
 11 gates             6.425e-03  0.999979894    2.329e-02
 11 post_conv         2.279e-02  0.999749035    3.125e-02
 11 raw_recur         1.734e-02  0.999876440    2.441e-04
 11 pre_out_proj      3.911e-02  0.999235153    2.051e-02
 11 block_out         5.185e-02  0.998670720    1.416e-02
 11 post_gdn          2.769e-02  0.999616561    2.122e-03
 11 post_moe          3.240e-02  0.999474904    2.533e-03
 11 attn_in           7.647e-03  0.999970788    7.133e-04
 11 post_attn         8.514e-03  0.999963835    7.154e-04
 12 in                2.958e-02  0.999562574    2.288e-03
 12 hc_pre_mixed      5.902e-02  0.998256575    1.875e-01
 12 hc_pre_inj        3.472e-03  0.999994041    1.183e-04
 12 qkvz_preconv      2.266e-02  0.999743643    3.438e-01
 12 gates             3.013e-03  0.999995472    1.097e-02
 12 post_conv         1.860e-02  0.999840094    6.250e-02
 12 raw_recur         1.624e-02  0.999916753    2.441e-04
 12 pre_out_proj      4.504e-02  0.998992555    1.953e-02
