epoch,mem_avail_gb,swap_used_gb,gpu_util_pct,gpu_power_w,gpu_sm_mhz
1788685875,113,1,0,6.12,208
1788685880,104,1,5,12.94,2281
1788685885,96,1,5,12.90,2281
1788685890,89,1,3,12.63,2281
1788685895,81,1,4,12.64,2281
1788685900,66,1,5,12.55,2281
1788685905,59,1,3,12.45,2281
1788685910,59,1,3,12.35,2281
1788685915,49,1,4,12.37,2281
1788685920,47,1,16,14.72,2275
1788685925,23,1,0,11.96,2281
1788685930,23,1,96,44.33,2281
1788685935,23,1,89,31.81,2281
1788685940,23,1,89,31.87,2281
1788685945,23,1,96,43.97,2281
1788685950,23,1,89,32.03,2281
1788685955,23,1,89,32.02,2281
1788685960,23,1,57,38.21,2281
1788685965,23,1,90,32.53,2281
1788685970,23,1,89,32.25,2281
1788685976,23,1,96,35.31,2281
1788685981,22,1,90,32.53,2281
1788685986,22,1,89,32.47,2281
1788685991,22,1,90,32.50,2281
1788685996,22,1,90,32.55,2281
1788686001,23,1,85,29.17,2281
1788686006,22,1,96,46.21,2275
1788686011,22,1,89,32.72,2281
1788686016,22,1,90,32.89,2281
1788686021,22,1,89,32.63,2281
1788686026,22,1,90,32.80,2281
1788686031,23,1,96,45.30,2275
1788686036,22,1,96,38.35,2281
1788686041,22,1,91,33.04,2281
1788686046,22,1,91,33.01,2281
1788686051,22,1,90,32.80,2281
1788686056,22,1,90,32.97,2281
1788686061,22,1,96,39.95,2281
1788686066,22,1,96,45.47,2275
1788686071,21,1,89,37.72,2281
1788686076,21,1,89,33.16,2281
1788686081,21,1,89,32.92,2281
1788686086,21,1,90,33.17,2281
1788686092,21,1,90,33.16,2281
1788686097,21,1,90,33.02,2281
1788686102,21,1,91,33.01,2281
1788686107,21,1,91,33.08,2281
1788686112,21,1,90,33.04,2281
1788686117,23,1,96,34.19,2281
1788686122,22,1,96,44.92,2275
1788686127,21,1,54,37.69,2281
1788686132,21,1,90,33.13,2281
1788686137,21,1,89,33.14,2281
1788686142,21,1,90,33.21,2281
1788686147,21,1,90,33.25,2281
1788686152,21,1,90,33.17,2281
1788686157,21,1,90,33.15,2281
1788686162,21,1,90,33.04,2281
1788686167,21,1,90,33.10,2281
1788686172,21,1,90,32.23,2281
1788686177,22,1,95,37.00,2281
1788686182,21,1,96,45.26,2275
1788686187,21,1,96,37.09,2281
1788686192,21,1,90,33.15,2281
1788686197,21,1,91,33.20,2281
1788686202,21,1,90,33.16,2281
1788686207,21,1,91,33.35,2281
1788686213,21,1,91,33.20,2281
1788686218,21,1,89,33.15,2281
1788686223,21,1,89,33.21,2281
1788686228,21,1,89,32.99,2281
1788686233,22,1,90,33.44,2281
1788686238,22,1,96,43.14,2275
1788686243,22,1,90,33.37,2281
1788686248,22,1,96,40.51,2275
1788686253,21,1,89,33.54,2281
1788686258,21,1,91,33.48,2281
1788686263,21,1,90,33.42,2281
1788686268,21,1,90,33.20,2281
1788686273,22,1,90,33.49,2281
1788686278,22,1,90,33.37,2281
1788686283,21,1,91,32.02,2281
1788686288,21,1,91,33.47,2281
1788686293,21,1,90,33.41,2281
1788686298,21,1,90,33.45,2281
